train_acc,train_loss,lr,test_acc,test_loss
0.5,0.6926164150238037,5e-05,0.5,0.6861943244934082
0.5,0.6894940853118896,5e-05,0.5,0.6857670307159424
0.5,0.6749371528625489,5e-05,0.5,0.6743324756622314
0.6,0.6555933475494384,5e-05,0.5,0.6604334354400635
0.8,0.6393505573272705,5e-05,0.6,0.6465754032135009
0.85,0.6256088256835938,5e-05,0.85,0.6366687774658203
0.85,0.6187521934509277,5e-05,0.85,0.6328467845916748
0.85,0.6139398574829101,5e-05,0.7,0.6305769920349121
0.85,0.6043089389801025,5e-05,0.85,0.620842170715332
0.85,0.5947181224822998,5e-05,0.85,0.6103775024414062
0.85,0.5879581451416016,5e-05,0.85,0.6022025108337402
0.8,0.5810725688934326,5e-05,0.85,0.5942277431488037
0.8,0.5737416744232178,5e-05,0.85,0.5859181404113769
0.8,0.5702911853790283,5e-05,0.85,0.5815381050109864
0.85,0.5691744327545166,5e-05,0.85,0.583307409286499
0.85,0.5671582698822022,5e-05,0.85,0.5832733154296875
0.85,0.5635814666748047,5e-05,0.85,0.5813188076019287
0.85,0.562818193435669,5e-05,0.85,0.5800068855285645
0.85,0.5631746292114258,5e-05,0.85,0.5825130462646484
0.8,0.5604712486267089,5e-05,0.85,0.5812244892120362
0.85,0.5575071334838867,5e-05,0.85,0.5777448177337646
0.8,0.5543017387390137,5e-05,0.85,0.5740823745727539
0.8,0.5518955707550048,5e-05,0.85,0.5725701332092286
0.85,0.5487585067749023,5e-05,0.85,0.5732011795043945
0.85,0.543649959564209,5e-05,0.85,0.5639137268066406
0.85,0.5421381950378418,5e-05,0.85,0.5612781047821045
0.8,0.540408992767334,5e-05,0.85,0.5598274230957031
0.85,0.5401730537414551,5e-05,0.85,0.5584939956665039
0.8,0.5386804103851318,5e-05,0.85,0.5584600925445556
0.8,0.5368281364440918,5e-05,0.9,0.5580298900604248
0.85,0.5360240936279297,5e-05,0.85,0.5609148979187012
0.8,0.5342282295227051,5e-05,0.85,0.555570411682129
0.85,0.5357627868652344,5e-05,0.85,0.5605616569519043
0.85,0.5366211414337159,5e-05,0.85,0.5604105949401855
0.85,0.5359838008880615,5e-05,0.85,0.5588292598724365
0.8,0.5329793930053711,5e-05,0.9,0.5490214347839355
0.8,0.5306986808776856,5e-05,0.9,0.5447249412536621
0.75,0.5290402889251709,5e-05,0.9,0.5461310386657715
0.8,0.5246353626251221,5e-05,0.9,0.5414053916931152
0.8,0.5229854106903076,5e-05,0.9,0.5378277778625489
0.8,0.5201000213623047,5e-05,0.9,0.5335193157196045
0.8,0.5212934017181396,5e-05,0.9,0.5400914669036865
0.8,0.5161399364471435,5e-05,0.9,0.5310270309448242
0.85,0.5154048919677734,5e-05,0.85,0.5318104267120362
0.8,0.5146936416625977,5e-05,0.9,0.5296546459197998
0.8,0.5171591758728027,5e-05,0.85,0.5395877838134766
0.85,0.5132177829742431,5e-05,0.85,0.5301811695098877
0.85,0.5136192321777344,5e-05,0.85,0.5286751747131347
0.8,0.511122465133667,5e-05,0.9,0.5216678619384766
0.8,0.5092110633850098,5e-05,0.9,0.5247539043426513
0.8,0.5071220397949219,5e-05,0.9,0.5247718334197998
0.8,0.5082553386688232,5e-05,0.85,0.5296819686889649
0.85,0.5094351291656494,5e-05,0.85,0.5297556400299073
0.8,0.5101091861724854,5e-05,0.85,0.5274370193481446
0.85,0.5099108695983887,5e-05,0.85,0.5314210414886474
0.8,0.5080551147460938,5e-05,0.9,0.5243024349212646
0.8,0.5066242694854737,5e-05,0.85,0.5219038009643555
0.8,0.50479154586792,5e-05,0.9,0.5186854362487793
0.8,0.5033389091491699,5e-05,0.9,0.5175792217254639
0.8,0.5051885128021241,5e-05,0.85,0.5194655418395996
0.8,0.504676103591919,5e-05,0.85,0.5228518962860107
0.8,0.5017153739929199,5e-05,0.85,0.517518424987793
0.8,0.5018989086151123,5e-05,0.9,0.5219550132751465
0.8,0.5044656753540039,5e-05,0.9,0.5285564422607422
0.8,0.5027395248413086,5e-05,0.9,0.5201610565185547
0.8,0.49953279495239256,5e-05,0.9,0.5134102821350097
0.8,0.5049121856689454,5e-05,0.9,0.5264317512512207
0.8,0.49923171997070315,5e-05,0.9,0.5156009674072266
0.85,0.49587535858154297,5e-05,0.85,0.5046923637390137
0.8,0.49278244972229,5e-05,0.9,0.5006834983825683
0.8,0.49370126724243163,5e-05,0.9,0.5024948596954346
0.8,0.49909772872924807,5e-05,0.9,0.5140407085418701
0.8,0.4963380813598633,5e-05,0.9,0.5130641460418701
0.8,0.49420804977416993,5e-05,0.9,0.5113608837127686
0.8,0.49483528137207033,5e-05,0.85,0.5155386924743652
0.85,0.4980793476104736,5e-05,0.85,0.522640323638916
0.8,0.49347100257873533,5e-05,0.9,0.5083337783813476
0.8,0.4963061809539795,5e-05,0.85,0.511032247543335
0.8,0.492628288269043,5e-05,0.85,0.5107498168945312
0.85,0.49257512092590333,5e-05,0.85,0.50916748046875
0.8,0.4916266441345215,5e-05,0.9,0.5060558795928956
0.8,0.4922618865966797,5e-05,0.9,0.5120981216430665
0.8,0.4922207832336426,5e-05,0.9,0.5106040477752686
0.8,0.4940313816070557,5e-05,0.9,0.5126851558685303
0.85,0.49111547470092776,5e-05,0.85,0.5044821739196778
0.8,0.491592264175415,5e-05,0.9,0.5077892780303955
0.8,0.4887373924255371,5e-05,0.9,0.5059947013854981
0.8,0.48767995834350586,5e-05,0.9,0.5009319305419921
0.8,0.4858694076538086,5e-05,0.9,0.4962519645690918
0.85,0.4886148929595947,5e-05,0.85,0.5076270580291748
0.8,0.49010233879089354,5e-05,0.9,0.5113548755645752
0.8,0.48711109161376953,5e-05,0.9,0.5047557830810547
0.85,0.4879123687744141,5e-05,0.85,0.5064846515655518
0.8,0.48836569786071776,5e-05,0.9,0.5142195224761963
0.8,0.48915896415710447,5e-05,0.9,0.5130326271057128
0.85,0.4912753105163574,5e-05,0.85,0.5155822277069092
0.85,0.4902067184448242,5e-05,0.85,0.5112878799438476
0.85,0.4912912845611572,5e-05,0.85,0.5149185180664062
0.8,0.48993520736694335,5e-05,0.9,0.5128335952758789
0.8,0.48784451484680175,5e-05,0.9,0.5136814117431641
0.8,0.4869133472442627,5e-05,0.9,0.5102961540222168
0.85,0.48723464012145995,5e-05,0.85,0.5067078113555908
