train_acc,train_loss,lr,test_acc,test_loss
0.69,0.6271936416625976,5e-05,0.64,0.6496212005615234
0.69,0.5985443496704101,5e-05,0.64,0.6251798629760742
0.8,0.5713303756713867,5e-05,0.73,0.605662956237793
0.78,0.5508208465576172,5e-05,0.73,0.5938129425048828
0.78,0.540831184387207,5e-05,0.73,0.5881539916992188
0.78,0.5314346313476562,5e-05,0.73,0.5834339904785156
0.78,0.5280010223388671,5e-05,0.74,0.5808880615234375
0.79,0.5238213729858399,5e-05,0.74,0.5779671096801757
0.78,0.5220500564575196,5e-05,0.75,0.5758369827270508
0.78,0.5208150100708008,5e-05,0.75,0.5742729187011719
0.78,0.514892578125,5e-05,0.76,0.571552734375
0.78,0.5105636978149414,5e-05,0.75,0.5704659652709961
0.78,0.5099889755249023,5e-05,0.75,0.5693839263916015
0.78,0.5058873748779297,5e-05,0.74,0.5683773422241211
0.78,0.5021164703369141,5e-05,0.74,0.5664881134033203
0.78,0.49948719024658206,5e-05,0.75,0.5653122711181641
0.78,0.5022081756591796,5e-05,0.75,0.5629755783081055
0.78,0.49716476440429686,5e-05,0.76,0.5617410278320313
0.78,0.4930696868896484,5e-05,0.74,0.5609486770629882
0.78,0.4884999465942383,5e-05,0.73,0.5620570755004883
0.78,0.4881880569458008,5e-05,0.74,0.5581147766113281
0.78,0.48582111358642577,5e-05,0.73,0.5581836700439453
0.78,0.4838822555541992,5e-05,0.74,0.55825439453125
0.78,0.4816963577270508,5e-05,0.74,0.5560044479370118
0.78,0.48004005432128904,5e-05,0.73,0.5553511810302735
0.78,0.4779949569702148,5e-05,0.73,0.5570013046264648
0.77,0.47818058013916015,5e-05,0.73,0.5567958068847656
0.78,0.47829811096191405,5e-05,0.73,0.5530564498901367
0.78,0.47734527587890624,5e-05,0.73,0.5511561965942383
0.78,0.4745804214477539,5e-05,0.73,0.5494471359252929
0.77,0.47476585388183595,5e-05,0.73,0.5478376770019531
0.77,0.47581939697265624,5e-05,0.73,0.5473620986938477
0.78,0.470014762878418,5e-05,0.73,0.5495048141479493
0.78,0.4701788330078125,5e-05,0.72,0.5495717239379883
0.77,0.4705812072753906,5e-05,0.73,0.5458858108520508
0.77,0.46933910369873044,5e-05,0.73,0.5450717163085937
0.78,0.4658419799804687,5e-05,0.72,0.5488652801513672
0.78,0.46525226593017577,5e-05,0.72,0.5483244705200195
0.78,0.4639573669433594,5e-05,0.73,0.5449619674682618
0.78,0.4642844390869141,5e-05,0.73,0.5428555679321289
0.78,0.4626063537597656,5e-05,0.73,0.5414651107788085
0.78,0.4616183090209961,5e-05,0.72,0.5426479339599609
0.78,0.4612998962402344,5e-05,0.72,0.5416509246826172
0.78,0.45929977416992185,5e-05,0.73,0.5411664199829102
0.78,0.45844947814941406,5e-05,0.73,0.5417583465576172
0.78,0.4574874496459961,5e-05,0.72,0.5445904159545898
0.78,0.4571433639526367,5e-05,0.73,0.5402534103393555
0.78,0.45711238861083986,5e-05,0.73,0.5370294189453125
0.78,0.4542464828491211,5e-05,0.73,0.53806396484375
0.78,0.4564307022094727,5e-05,0.73,0.5347898101806641
0.78,0.45378326416015624,5e-05,0.73,0.5356711578369141
0.78,0.4526664733886719,5e-05,0.73,0.5353409576416016
0.77,0.45115333557128906,5e-05,0.72,0.5382576751708984
0.78,0.44992149353027344,5e-05,0.72,0.5377849197387695
0.78,0.4497402191162109,5e-05,0.72,0.5354312133789062
0.78,0.45077751159667967,5e-05,0.73,0.5307282638549805
0.78,0.44876800537109374,5e-05,0.73,0.5310182189941406
0.79,0.4459781265258789,5e-05,0.73,0.5349006652832031
0.78,0.44798568725585936,5e-05,0.73,0.5300616073608398
0.78,0.4463579559326172,5e-05,0.73,0.5282231140136718
0.78,0.4438521194458008,5e-05,0.73,0.5297307586669922
0.78,0.44382606506347655,5e-05,0.73,0.5313459014892579
0.79,0.4434677505493164,5e-05,0.73,0.5293749237060547
0.78,0.4416020965576172,5e-05,0.72,0.5307629776000976
0.78,0.4410708236694336,5e-05,0.72,0.5313238143920899
0.79,0.4404092788696289,5e-05,0.72,0.5290000915527344
0.78,0.4401272201538086,5e-05,0.73,0.5253115844726562
0.79,0.43865997314453126,5e-05,0.73,0.52802490234375
0.79,0.4377481460571289,5e-05,0.73,0.5258948135375977
0.79,0.43905269622802734,5e-05,0.73,0.523467903137207
0.78,0.4393482208251953,5e-05,0.73,0.522344970703125
0.79,0.4384088897705078,5e-05,0.73,0.5259714126586914
0.79,0.43677101135253904,5e-05,0.72,0.5263326644897461
0.79,0.4359322738647461,5e-05,0.72,0.5268844604492188
0.79,0.43331539154052734,5e-05,0.72,0.524791145324707
0.79,0.43428840637207033,5e-05,0.72,0.5237226486206055
0.79,0.4339441299438477,5e-05,0.72,0.521451187133789
0.79,0.4334008026123047,5e-05,0.73,0.5221996688842774
0.78,0.43403331756591795,5e-05,0.73,0.520305404663086
0.79,0.4305698776245117,5e-05,0.74,0.5210025787353516
0.79,0.4312079620361328,5e-05,0.74,0.5188195419311523
0.79,0.4302116012573242,5e-05,0.72,0.5201904296875
0.79,0.42844635009765625,5e-05,0.72,0.5241550445556641
0.79,0.4293594741821289,5e-05,0.72,0.5223568725585938
0.79,0.4274494171142578,5e-05,0.72,0.5222794723510742
0.79,0.42833087921142576,5e-05,0.72,0.5190969467163086
0.79,0.42795524597167967,5e-05,0.73,0.5149277496337891
0.78,0.42844711303710936,5e-05,0.73,0.516657600402832
0.79,0.4253035354614258,5e-05,0.74,0.5181784057617187
0.79,0.4251891708374023,5e-05,0.73,0.5175941467285157
0.79,0.42439292907714843,5e-05,0.72,0.5201900482177735
0.79,0.4245089340209961,5e-05,0.73,0.5157275772094727
0.79,0.4223270034790039,5e-05,0.72,0.5184381484985352
0.79,0.42423919677734373,5e-05,0.74,0.515736198425293
0.79,0.42341697692871094,5e-05,0.74,0.5145233917236328
0.79,0.42095149993896486,5e-05,0.74,0.5174324798583985
0.78,0.421795539855957,5e-05,0.73,0.5154241943359374
0.79,0.42179298400878906,5e-05,0.73,0.5131338882446289
0.78,0.42418704986572264,5e-05,0.74,0.5105750274658203
0.78,0.42083335876464845,5e-05,0.73,0.50825927734375
0.78,0.4195174407958984,5e-05,0.74,0.5079069137573242
0.78,0.4187029266357422,5e-05,0.73,0.5097622680664062
0.79,0.4182403945922852,5e-05,0.72,0.5146336364746094
0.79,0.41929542541503906,5e-05,0.72,0.5138661193847657
0.79,0.4181416702270508,5e-05,0.73,0.5135640716552734
0.78,0.41604225158691405,5e-05,0.74,0.5113365936279297
0.79,0.4163920211791992,5e-05,0.73,0.5080646896362304
0.79,0.41822109222412107,5e-05,0.74,0.5079419708251953
0.79,0.4163768768310547,5e-05,0.74,0.5098059463500977
0.78,0.4152189636230469,5e-05,0.74,0.508318977355957
0.79,0.4129806900024414,5e-05,0.73,0.5128202819824219
0.79,0.41345619201660155,5e-05,0.72,0.5106777572631835
0.79,0.4130313110351562,5e-05,0.72,0.5129272842407226
0.79,0.41384788513183596,5e-05,0.74,0.512499885559082
0.79,0.41226657867431643,5e-05,0.74,0.5086153030395508
0.79,0.4117880630493164,5e-05,0.73,0.5095256805419922
0.79,0.41133934020996094,5e-05,0.74,0.5083302688598633
0.78,0.4115706253051758,5e-05,0.74,0.5042623901367187
0.78,0.4113247680664063,5e-05,0.74,0.5062701034545899
0.79,0.41070095062255857,5e-05,0.72,0.5092253875732422
0.79,0.4130172348022461,5e-05,0.74,0.5049065780639649
0.78,0.4099969482421875,5e-05,0.73,0.5066022109985352
0.79,0.40873954772949217,5e-05,0.74,0.5114756393432617
0.8,0.4096609878540039,5e-05,0.72,0.5152680206298829
0.79,0.4072414398193359,5e-05,0.72,0.5119337844848633
0.79,0.4069256591796875,5e-05,0.73,0.5105876922607422
0.78,0.4070064926147461,5e-05,0.73,0.5056484603881836
0.79,0.40536399841308596,5e-05,0.74,0.5043667221069336
0.79,0.4046024322509766,5e-05,0.74,0.505302505493164
0.79,0.40565574645996094,5e-05,0.74,0.5023841857910156
0.79,0.405909423828125,5e-05,0.74,0.49942607879638673
